Id,Title,Episodes,Year,YearStart,YearEnd,TotalYears,EpisodesPerYear,Channel,American company,Technique,IMDb,google_user_rating
1570,Tennessee Tuxedo and His Tales,70,1963-1966,1963,1966,3,23.33333333,CBS,Total TelevisionLeonardo Television,Traditional,7.6,92
779,Jake and the Never Land Pirates,116,2011-2016,2011,2016,5,23.2,Disney Junior,Disney Television Animation,Flash,5.7,72
152,Ben 10: Alien Force,46,2008-2010,2008,2010,2,23,Cartoon Network,Cartoon Network Studios,Traditional,7.4,92
773,It's Pony,46,2020-2022,2020,2022,2,23,Nickelodeon,Nickelodeon Animation Studio,Traditional,6.3,76
952,The Marvelous Misadventures of Flapjack,46,2008-2010,2008,2010,2,23,Cartoon Network,Cartoon Network Studios,Traditional,7.8,93
1153,Our Cartoon President,46,2018-2020,2018,2020,2,23,Showtime,CBS Eye Animation Productions,Flash,5.5,72
199,Breezly and Sneezly,23,1964-1965,1964,1965,1,23,Syndication,Hanna-Barbera,Traditional,6.2,10
334,The Critic,23,1994-1995,1994,1995,1,23,ABC,Gracie Films,Traditional,7.8,85
484,Earthworm Jim,23,1995-1996,1995,1996,1,23,Kids' WB,Universal Cartoon Studios,Traditional,7.2,92
493,Emergency +4,23,1973-1974,1973,1974,1,23,NBC,Fred Calvert Productions,Traditional,7.2,92
778,The Jackson 5ive,23,1971-1972,1971,1972,1,23,ABC,Rankin/Bass Productions,Traditional,6.6,96
787,"Jelly, Ben, & Pogo",23,2021-2022,2021,2022,1,23,PBS Kids,NA,Flash,9.3,87
849,Kung Fu Panda: The Dragon Knight,23,2022-2023,2022,2023,1,23,Netflix,DreamWorks Animation Television,CGI,6.1,79
1208,Potato Head Kids,23,1986-1987,1986,1987,1,23,Syndication,Sunbow Entertainment,Traditional,6.3,87
1417,Stretch Armstrong and the Flex Fighters,23,2017-2018,2017,2018,1,23,Netflix,Hasbro Studios,Traditional,6.2,53
1120,Nicktoons Film Festival,114,2004-2009,2004,2009,5,22.8,Nicktoons Network,Frederator Studios,Traditional/Flash/CGI/Stop-Motion,8.9,97
1450,Sheriff Callie's Wild West,90,2013-2017,2013,2017,4,22.5,Disney Junior,Wild Canary Animation,CGI,6.2,87
1467,Space Racers,90,2014-2018,2014,2018,4,22.5,PBS Kids (season 1)Sprout / Universal Kids (season 2),"Space Race, LLCMaryland Public TelevisionWNET",CGI,7.5,76
495,The Epic Tales of Captain Underpants,45,2018-2020,2018,2020,2,22.5,Netflix,DreamWorks Animation TelevisionScholastic Corporation,Flash,6.7,71
544,The Flintstone Funnies,45,1982-1984,1982,1984,2,22.5,NBC,Hanna-Barbera,Traditional,6.6,87
712,Horseland,45,2006-2008,2006,2008,2,22.5,CBS,DIC Entertainment,Traditional,6,89
1202,The Popeye Show,45,2001-2003,2001,2003,2,22.5,Cartoon Network,NA,Traditional,7.6,96
1258,The Quick Draw McGraw Show,45,1959-1961,1959,1961,2,22.5,Syndication,Hanna-Barbera,Traditional,6.7,91
1381,Snooper and Blabber,45,1959-1961,1959,1961,2,22.5,Syndication,Hanna-Barbera,Traditional,6.4,92
890,Lilo & Stitch: The Series,67,2003-2006,2003,2006,3,22.33333333,Disney Channel,Walt Disney Television Animation,Traditional,6.8,88
316,The Cleveland Show,89,2009-2013,2009,2013,4,22.25,Fox,Fuzzy Door Productions,Traditional,5.6,79
364,Clifford the Big Red Dog (2000),66,2000-2003,2000,2003,3,22,PBS Kids,Scholastic Corporation,Traditional,6.5,87
1270,Ready Jet Go!,66,2016-2019,2016,2019,3,22,PBS Kids,"Wind Dancer Films
Snee-Oosh, Inc.",CGI,6.4,61
6,The 7D,44,2014-2016,2014,2016,2,22,Disney XD,Disney Television Animation,Traditional,5.7,85
192,The Brady Kids,22,1972-1973,1972,1973,1,22,ABC,Filmation,Traditional,5.6,85
663,Harlem Globetrotters,22,1970-1971,1970,1971,1,22,CBS,Hanna-Barbera,Traditional,6.2,92
909,The Little Rascals,22,1982-1983,1982,1983,1,22,ABC,Hanna-Barbera,Traditional,5.7,87
1352,The Secret Files of the Spy Dogs,22,1998-1999,1998,1999,1,22,Fox Kids,Saban Entertainment,Traditional,7.1,94
1406,Star Trek: The Animated Series,22,1973-1974,1973,1974,1,22,NBC,Filmation,Traditional,7.2,81
1544,SuperKitties,22,2023-2024,2023,2024,1,22,Disney Junior,Sony Pictures Television Kids,CGI,6.2,75
1014,Monster High (web series),175,2010-2018,2010,2018,8,21.875,YouTube,Mattel Television,Flash,7.6,82
1461,Sofia the First,109,2013-2018,2013,2018,5,21.8,Disney Junior,Disney Television Animation,CGI,6.9,79
141,Batman: The Brave and the Bold,65,2008-2011,2008,2011,3,21.66666667,Cartoon Network,Warner Bros. AnimationDC Entertainment,Traditional,7.3,86
167,Biker Mice from Mars (1993),65,1993-1996,1993,1996,3,21.66666667,Syndication,New World Animation,Traditional,7,94
789,Jem,65,1985-1988,1985,1988,3,21.66666667,Syndication,Sunbow Entertainment,Traditional,7.4,91
876,Lego City Adventures,65,2019-2022,2019,2022,3,21.66666667,NickelodeonNetflixYouTube,The Lego Group,CGI,6.8,64
961,Maya & Miguel,65,2004-2007,2004,2007,3,21.66666667,PBS Kids Go!,Scholastic Productions,Traditional,5.9,86
1189,Pinky and the Brain,65,1995-1998,1995,1998,3,21.66666667,Kids' WB,Warner Bros. Animation,Traditional,7.8,90
1250,Pound Puppies (2010),65,2010-2013,2010,2013,3,21.66666667,The Hub,Hasbro Studios,Flash,6.2,82
1393,Spider-Man (1994),65,1994-1997,1994,1997,3,21.66666667,Fox Kids,Marvel Entertainment,Traditional,8.4,87
1405,Stanley,65,2001-2004,2001,2004,3,21.66666667,Playhouse Disney,Cartoon Pizza,Traditional,6.5,89
1564,Teen Titans,65,2003-2006,2003,2006,3,21.66666667,Cartoon Network,Warner Bros. Animation,Traditional,7.9,89
1591,Tom & Jerry Kids,65,1990-1993,1990,1993,3,21.66666667,Fox Kids Network,Hanna-Barbera,Traditional,6.2,86
1614,Transformers: Prime,65,2010-2013,2010,2013,3,21.66666667,The Hub,Hasbro Studios,CGI,8,86
1793,Yin Yang Yo!,65,2006-2009,2006,2009,3,21.66666667,Jetix (on Toon Disney) (2006-09)Disney XD (2009),Jetix Animation Concepts,Flash,6,93
1371,The Simpsons,753,1989-2024,1989,2024,35,21.51428571,Fox,Gracie Films20th century,Traditional,8.7,91
660,Hanna-Barbera's World of Super Adventure,129,1978-1984,1978,1984,6,21.5,Syndication,Hanna-Barbera,Traditional,8.4,97
1026,Mr. Bogus,43,1991-1993,1991,1993,2,21.5,Syndication,Zodiac Entertainment,Traditional,7.4,85
1709,Wacky Races (2017),43,2017-2019,2017,2019,2,21.5,Boomerang,Warner Bros. Animation,Traditional,5.1,68
1566,Teenage Mutant Ninja Turtles (1987),193,1987-1996,1987,1996,9,21.44444444,SyndicationCBS,Fred Wolf Films,Traditional,7.9,89
1236,The Penguins of Madagascar,149,2008-2015,2008,2015,7,21.28571429,Nickelodeon,DreamWorks Animation TelevisionNickelodeon Animation Studio,CGI,7.5,91
1584,Timon & Pumbaa,85,1995-1999,1995,1999,4,21.25,CBS,Walt Disney Television Animation,Traditional,7,87
94,Avengers Assemble,127,2013-2019,2013,2019,6,21.16666667,Disney XD,Marvel Animation,Traditional,7,72
649,The Grim Adventures of Billy & Mandy,84,2003-2007,2003,2007,4,21,Cartoon Network,Cartoon Network Studios,Traditional,7.7,94
1038,My Friends Tigger & Pooh,63,2007-2010,2007,2010,3,21,Playhouse Disney,Walt Disney Television Animation,CGI,5.4,80
239,Blazing Team: Masters of Yo Kwon Do,42,2015-2017,2015,2017,2,21,Discovery Family,Hasbro Studios,Traditional,6.9,80
1613,Transformers: Animated,42,2007-2009,2007,2009,2,21,Cartoon Network,Cartoon Network Studios,Traditional,6.7,85
20,The Addams Family (1992),21,1992-1993,1992,1993,1,21,ABC,Hanna-Barbera,Traditional,7,93
49,ALF Tales,21,1988-1989,1988,1989,1,21,NBC,DIC Entertainment,Traditional,6.2,84
88,Attack of the Killer Tomatoes,21,1990-1991,1990,1991,1,21,Fox Children's Network,Marvel Productions,Traditional,4.6,65
233,Bill & Ted's Excellent Adventures,21,1990-1991,1990,1991,1,21,CBS,Hanna-Barbera,Traditional,6.9,90
335,Cro,21,1993-1994,1993,1994,1,21,ABC,Film Roman,Traditional,8.4,90
394,Dave the Barbarian,21,2004-2005,2004,2005,1,21,Disney Channel,Walt Disney Television Animation,Traditional,7,95
417,"Dink, the Little Dinosaur",21,1989-1990,1989,1990,1,21,CBS,Ruby-Spears Enterprises,Traditional,7.1,90
567,Free Willy,21,1994-1995,1994,1995,1,21,ABC,Warner Bros. Television,Traditional,6,74
593,Galtar and the Golden Lance,21,1985-1986,1985,1986,1,21,Syndication,Hanna-Barbera,Traditional,7.1,76
759,The Incredible Hulk (1996),21,1996-1997,1996,1997,1,21,UPN,Marvel Studios,Traditional,6.7,72
863,Laverne & Shirley,21,1981-1982,1981,1982,1,21,ABC,Hanna-Barbera,Traditional,7,90
932,Lucky Luke,21,1981-1982,1981,1982,1,21,Syndication,Hanna-Barbera,Traditional,7.2,95
984,The Mighty Heroes,21,1966-1967,1966,1967,1,21,CBS,Terrytoons,Traditional,7.2,91
1170,Paw Paws,21,1985-1986,1985,1986,1,21,Syndication,Hanna-Barbera,Traditional,6.8,93
1280,Rhyme Time Town,21,2020-2021,2020,2021,1,21,Netflix,DreamWorks Animation Television,Traditional,7.9,53
1284,The Richie Rich/Scooby-Doo Show,21,1980-1981,1980,1981,1,21,ABC,Hanna-Barbera,Traditional,6.3,94
1349,Scooby's Mystery Funhouse,21,1985-1986,1985,1986,1,21,ABC,Hanna-Barbera,Traditional,7.6,94
1576,Thundarr the Barbarian,21,1980-1981,1980,1981,1,21,ABC,Ruby-Spears Productions,Traditional,7.5,91
1603,Toonsylvania,21,1998-1999,1998,1999,1,21,Fox Kids,DreamWorks Animation Television,Traditional,6.9,92
1639,Teen Wolf,21,1986-1987,1986,1987,1,21,CBS,Southern Star/Hanna-Barbera Australia,Traditional,7.7,90
246,Boy Girl Dog Cat Mouse Cheese,104,2019-2024,2019,2024,5,20.8,CBBC,Cloudco Entertainment,Flash,6.3,84
1670,Ultimate Spider-Man,104,2012-2017,2012,2017,5,20.8,Disney XD,Marvel Animation,Traditional,7.2,82
93,Avatar: The Last Airbender,61,2005-2008,2005,2008,3,20.33333333,Nickelodeon,Nickelodeon Animation Studios,Traditional,9.3,96
263,Camp Lazlo,61,2005-2008,2005,2008,3,20.33333333,Cartoon Network,Cartoon Network Studios,Traditional,6.4,92
596,Garfield and Friends,121,1988-1994,1988,1994,6,20.16666667,CBS,Film Roman,Traditional,7.2,93
179,Bob's Burgers,260,2011-2024,2011,2024,13,20,Fox,Bento Box Entertainment,Flash,8.2,86
369,Cocomelon,80,2020-2024,2020,2024,4,20,YouTube,Treasure Studio,CGI,4.1,67
431,Dorothy and the Wizard of Oz,60,2017-2020,2017,2020,3,20,Boomerang,Warner Bros. Animation,Traditional,6,63
606,Generator Rex,60,2010-2013,2010,2013,3,20,Cartoon Network,Cartoon Network Studios,Traditional,7.6,90
672,Have a Laugh!,60,2009-2012,2009,2012,3,20,Disney Channel,Disney Television Animation,Traditional,4.1,54
1267,Rapunzel's Tangled Adventure,60,2017-2020,2017,2020,3,20,Disney Channel,Disney Television Animation,Flash,7.7,84
1333,Sanjay and Craig,60,2013-2016,2013,2016,3,20,Nickelodeon,Nickelodeon Animation Studio,Traditional,4.6,76
1469,Special Agent Oso,60,2009-2012,2009,2012,3,20,Playhouse Disney (2009-11)Disney Junior (2011-12),Disney Television Animation,CGI,5.2,91
1535,Sunny Day,60,2017-2020,2017,2020,3,20,Nickelodeon,Nickelodeon Animation Studio,Flash,5.6,85
54,All Dogs Go to Heaven: The Series,40,1996-1998,1996,1998,2,20,Fox Family Channel,MGM Animation,Traditional,6.5,85
219,Bad Dog,40,1998-2000,1998,2000,2,20,Fox Family,Saban Entertainment,Traditional,5,77
463,Diabolik,40,1999-2001,1999,2001,2,20,Fox Kids,Sunbow Entertainment,Traditional,5.9,67
489,Elinor Wonders Why,40,2020-2022,2020,2022,2,20,PBS Kids,Pipeline Studios,Flash,8.2,78
619,"Glenn Martin, DDS",40,2009-2011,2009,2011,2,20,Nick at Nite,The Tornante Company,Stop-Motion,4.4,65
734,Hero Elementary,40,2020-2022,2020,2022,2,20,PBS Kids,Twin Cities PBS,Flash,7.5,64
760,Infinity Train,40,2019-2021,2019,2021,2,20,Cartoon Network (2019)HBO Max (2020-2022),Cartoon Network Studios,Traditional,8.4,92
886,The Life and Times of Juniper Lee,40,2005-2007,2005,2007,2,20,Cartoon Network,Cartoon Network Studios,Traditional,6.6,92
989,The Mighty Ones,40,2020-2022,2020,2022,2,20,Hulu,DreamWorks Animation Television,Flash,6.7,53
1035,Mutant League,40,1994-1996,1994,1996,2,20,Syndication,Claster Television,Traditional,7.5,96
1122,Niko and the Sword of Light,40,2017-2019,2017,2019,2,20,Amazon Prime Video,Amazon Studios,Flash,7.6,47
1314,Rosie's Rules,40,2022-2024,2022,2024,2,20,PBS Kids,Brown Bag Films,Flash,7.7,79
1343,The Scooby-Doo Show,40,1976-1978,1976,1978,2,20,ABC,Hanna-Barbera,Traditional,8.2,91
1472,Splash and Bubbles,40,2016-2018,2016,2018,2,20,PBS Kids,The Jim Henson Company,CGI,5.5,56
1741,Where's Waldo?,40,2019-2021,2019,2021,2,20,Universal Kids,"DreamWorks Animation Television
Snipple Animation Studios",Flash,7.8,56
13,The ABC Saturday Superstar Movie,20,1972-1973,1972,1973,1,20,ABC,NA,Traditional,7.8,60
15,Abominable and the Invisible City,20,2022-2023,2022,2023,1,20,HuluPeacock,DreamWorks Animation Television,CGI,6.4,66
33,Adventures in Nutrition with Captain Carlos,20,2004-2005,2004,2005,1,20,Playhouse Disney,NA,Flash,5.2,55
34,The Adventures of OG Sherlock Kush,20,2015-2016,2015,2016,1,20,FXX,ADHD Studios,Traditional,7.5,92
170,Birdman and the Galaxy Trio,20,1967-1968,1967,1968,1,20,NBC,Hanna-Barbera,Traditional,6.7,87
214,The Buzz on Maggie,20,2005-2006,2005,2006,1,20,Disney Channel,Walt Disney Television Animation,Flash,5.6,89
268,Captain Caveman and the Teen Angels,20,1978-1979,1978,1979,1,20,ABC,Hanna-Barbera,Traditional,6.4,89
337,Crossing Swords,20,2020-2021,2020,2021,1,20,Hulu,Stoopid Buddy Stoodios,Stop-Motion,6.7,70
372,Cool McCool,20,1966-1967,1966,1967,1,20,NBC,King Features Entertainment,Traditional,7,88
453,"Dynomutt, Dog Wonder",20,1976-1977,1976,1977,1,20,ABC,Hanna-Barbera,Traditional,6.6,93
469,Dogs in Space,20,2021-2022,2021,2022,1,20,Netflix,Netflix Animation,Traditional,7.2,78
519,Fantastic Four (1967),20,1967-1968,1967,1968,1,20,ABC,Hanna-Barbera,Traditional,6.6,75
531,Festival of Family Classics,20,1972-1973,1972,1973,1,20,Syndication,Rankin/Bass Productions,Traditional,7.6,93
569,Fresh Beat Band of Spies,20,2015-2016,2015,2016,1,20,Nickelodeon,Nickelodeon Animation Studio,Flash,6.9,68
602,Gemusetto,20,2019-2020,2019,2020,1,20,Adult Swim,Williams Street,Traditional,6.6,52
636,Good Morning Today,20,2013-2014,2013,2014,1,20,Fusion TV,The Jim Henson Company,CGI,6.4,74
685,Help!... It's the Hair Bear Bunch!,20,1976-1977,1976,1977,1,20,CBS,Hanna-Barbera,Traditional,6.3,86
713,Hot Streets,20,2018-2019,2018,2019,1,20,Adult Swim,Williams Street,Stop-Motion,5.9,64
725,Human Resources,20,2022-2023,2022,2023,1,20,Netflix,"Titmouse, Inc.",Flash,7.1,78
728,Happy Monster Band,20,2007-2008,2007,2008,1,20,Playhouse Disney,Kickstart Productions,Flash,7.5,88
790,Jessy and Nessy,20,2020-2021,2020,2021,1,20,Amazon Prime Video,Amazon Studios,CGI/Live-action,8.6,46
873,Legends of Chamberlain Heights,20,2016-2017,2016,2017,1,20,Comedy Central,Bento Box Entertainment,Flash,4.9,85
903,Little Ellen,20,2021-2022,2021,2022,1,20,Cartoonito,Warner Bros. Animation,Traditional,1.9,42
941,Mad Jack the Pirate,20,1998-1999,1998,1999,1,20,Fox Kids,Saban Entertainment,Traditional,8.6,93
999,The Misfortune of Being Ned,20,2013-2014,2013,2014,1,20,YouTube,YouTube Studio,Flash,8.7,90
1022,Motorcity,20,2012-2013,2012,2013,1,20,Disney XD,Disney Television Animation,Flash,7.2,86
1094,The New Adventures of Huckleberry Finn,20,1968-1969,1968,1969,1,20,NBC,Hanna-Barbera,Traditional/Live-action,7.3,95
1123,Nina Needs to Go!,20,2014-2015,2014,2015,1,20,Disney Junior,Disney Television Animation,Flash,3.7,71
1136,Oddballs,20,2022-2023,2022,2023,1,20,Netflix,Netflix Animation,Traditional,6.3,76
1154,Out of Jimmy's Head,20,2007-2008,2007,2008,1,20,Cartoon Network,Cartoon Network Studios,Flash/Live-action,2.3,54
1195,Playboy's Dark Justice,20,2000-2001,2000,2001,1,20,Playboy TV,Playboy Enterprises,CGI,3.4,35
1331,Samson & Goliath,20,1967-1968,1967,1968,1,20,NBC,Hanna-Barbera,Traditional,6.6,89
1336,Scary Scooby Funnies,20,1984-1985,1984,1985,1,20,ABC,Hanna-Barbera,Traditional,7.5,89
1384,Space Ghost,20,1966-1967,1966,1967,1,20,CBS,Hanna-Barbera,Traditional,7.2,92
1385,The Space Kidettes,20,1966-1967,1966,1967,1,20,NBC,Hanna-Barbera,Traditional,6.9,93
1414,Steven Universe Future,20,2019-2020,2019,2020,1,20,Cartoon Network,Cartoon Network Studios,Traditional,7.7,89
1420,The Super 6,20,1966-1967,1966,1967,1,20,NBC,DePatie-Freleng Enterprises,Traditional,7.2,78
1438,Sym-Bionic Titan,20,2010-2011,2010,2011,1,20,Cartoon Network,Cartoon Network Studios,Traditional,8.1,94
1502,Saving Me,20,2022-2023,2022,2023,1,20,BYUtv,Sphere Animation,Flash,8.9,75
1548,Take Two with Phineas and Ferb,20,2010-2011,2010,2011,1,20,Disney Channel,Walt Disney Television Animation,Flash/Live-action,6.2,74
1682,The URL with Phred Show,20,2001-2002,2001,2002,1,20,Noggin,NA,Traditional,7.7,78
1762,Wolfboy and the Everything Factory,20,2021-2022,2021,2022,1,20,Apple TV+,Bento Box Entertainment,Flash,7.6,74
1783,The X's,20,2005-2006,2005,2006,1,20,Nickelodeon,Nickelodeon Animation Studio,Traditional,5.9,88
70,Animaniacs (1993),99,1993-1998,1993,1998,5,19.8,Fox Kids (1993-1995)Kids' WB (1995-1998),Warner Bros. Animation,Traditional,7.9,94
357,Chaotic,79,2006-2010,2006,2010,4,19.75,Fox (4Kids TV),Bardel Entertainment,Traditional,6.6,78
654,Guardians of the Galaxy,79,2015-2019,2015,2019,4,19.75,Disney XD,Marvel Animation,Traditional,7.3,70
438,DreamWorks Dragons,118,2012-2018,2012,2018,6,19.66666667,Cartoon NetworkNetflix,DreamWorks Animation Television,CGI,7.9,90
1586,Tiny Toon Adventures,98,1990-1995,1990,1995,5,19.6,SyndicationFox Kids,Warner Bros. Animation,Traditional,7.5,91
852,Kuu Kuu Harajuku,78,2015-2019,2015,2019,4,19.5,Nickelodeon,Red Flags Fly,Flash,3.6,70
102,The Adventures of Chuck and Friends,39,2010-2012,2010,2012,2,19.5,The Hub,Hasbro Studios,CGI,5.4,71
160,Big Bag,39,1996-1998,1996,1998,2,19.5,Cartoon Network,Children's Television Workshop,Traditional/Live-Action,7,83
194,Brandy & Mr. Whiskers,39,2004-2006,2004,2006,2,19.5,Disney Channel,Walt Disney Television Animation,Traditional,6.3,96
292,Central Park,39,2020-2022,2020,2022,2,19.5,Apple TV+,Wilo Productions,Flash,6.9,59
336,The Croods: Family Tree,39,2021-2023,2021,2023,2,19.5,HuluPeacock,DreamWorks Animation Television,CGI,6.8,67
365,Clifford the Big Red Dog (2019),39,2019-2021,2019,2021,2,19.5,PBS KidsAmazon Prime Video,Scholastic Corporation,Flash,5.6,59
444,Duck Dodgers,39,2003-2005,2003,2005,2,19.5,Cartoon Network,Warner Bros. Animation,Traditional,7.7,95
575,Funky Cops,39,2002-2004,2002,2004,2,19.5,4Kids TV,MoonScoop Group,Traditional,6.8,96
696,Hi Hi Puffy AmiYumi,39,2004-2006,2004,2006,2,19.5,Cartoon Network,Renegade AnimationCartoon Network Studios,Flash,6.3,94
732,He-Man and the Masters of the Universe (2002),39,2002-2004,2002,2004,2,19.5,Cartoon Network,Mike Young Productions,Traditional,7.5,94
811,Justice League Unlimited,39,2004-2006,2004,2006,2,19.5,Cartoon Network,Warner Bros. Animation,Traditional,8.7,90
870,The Legend of Tarzan,39,2001-2003,2001,2003,2,19.5,UPN,Walt Disney Television Animation,Traditional,6.2,65
1070,The Mr. Men Show (1997),39,1997-1999,1997,1999,2,19.5,Syndication,Breakthrough Entertainment,Traditional/Live-Action,7.6,79
1288,The Ricky Gervais Show,39,2010-2012,2010,2012,2,19.5,HBO,Wildbrain Entertainment,Flash,8.4,93
1294,Rise of the Teenage Mutant Ninja Turtles,39,2018-2020,2018,2020,2,19.5,Nickelodeon,Nickelodeon Animation Studio,Traditional,5.8,73
1561,Teamo Supremo,39,2002-2004,2002,2004,2,19.5,Toon Disney,Walt Disney Television Animation,Traditional,4,82
1808,Zak Storm,39,2016-2018,2016,2018,2,19.5,Discovery Family,Man of Action Entertainment,CGI,6.8,92
67,Amphibia,58,2019-2022,2019,2022,3,19.33333333,Disney Channel,Disney Television Animation,Traditional,8.3,89
1394,Spider-Man (2017),58,2017-2020,2017,2020,3,19.33333333,Disney XD,Marvel Animation,Traditional,6.2,73
488,Elena of Avalor,77,2016-2020,2016,2020,4,19.25,Disney Junior,Disney Television Animation,CGI,6.5,84
1407,Star vs. the Forces of Evil,77,2015-2019,2015,2019,4,19.25,Disney XD (seasons 1-3)Disney Channel (season 4),Disney Television Animation,Traditional,7.9,92
777,Jackie Chan Adventures,95,2000-2005,2000,2005,5,19,Kids' WB,Adelaide Productions,Traditional,7.4,96
589,Gabby's Dollhouse,57,2021-2024,2021,2024,3,19,Netflix,DreamWorks Animation Television,CGI,7.3,73
721,The Huckleberry Hound Show,57,1958-1961,1958,1961,3,19,Syndication,Hanna-Barbera,Traditional,6.6,90
1192,Pixie and Dixie and Mr. Jinks,57,1958-1961,1958,1961,3,19,Syndication,Hanna-Barbera,Traditional,6.8,92
1458,Skylanders Academy,38,2016-2018,2016,2018,2,19,Netflix,Activision Blizzard Studios,CGI,6.6,64
1516,The Snoopy Show,38,2021-2023,2021,2023,2,19,Apple TV+,Peanuts Worldwide,Traditional,8.1,89
830,Kiff,19,2023-2024,2023,2024,1,19,Disney Channel,Disney Television Animation,Traditional,7.5,79
988,Mighty Mouse: The New Adventures,19,1987-1988,1987,1988,1,19,CBS,Bakshi Animation,Traditional,7,92
1624,Tron: Uprising,19,2012-2013,2012,2013,1,19,Disney XD,Disney Television Animation,CGI,8.2,73
270,Captain Planet and the Planeteers,113,1990-1996,1990,1996,6,18.83333333,TBS,DIC EntertainmentHanna-Barbera,Traditional,6.7,89
427,Donald's Quack Attack,94,1992-1997,1992,1997,5,18.8,The Disney Channel,Walt Disney Productions,Traditional,7.1,93
1277,The Ren & Stimpy Show,93,1991-1996,1991,1996,5,18.6,Nickelodeon,Spümcø,Traditional,7.5,85
64,American Dad!,352,2005-2024,2005,2024,19,18.52631579,Fox (2005-2014)TBS (2014-2024),Fuzzy Door Productions,Traditional,7.4,88
893,The Lion Guard,74,2015-2019,2015,2019,4,18.5,Disney Junior,Disney Television Animation,Flash,6.4,86
112,The Amazing World of Gumball,240,2011-2024,2011,2024,13,18.46153846,Cartoon Network,Cartoon Network Development Studio Europe,CGI/Flash/Stop-motion/Traditional,8.3,95
831,Kim Possible,92,2002-2007,2002,2007,5,18.4,Disney Channel,Walt Disney Television Animation,Traditional,7.2,87
644,The Great North,55,2021-2024,2021,2024,3,18.33333333,Fox,Wilo Productions,Flash,6.8,67
132,The Banana Splits,36,1968-1970,1968,1970,2,18,NBC,Hanna-Barbera,Traditional/Live-Action,7.3,91
165,Big Nate,36,2022-2024,2022,2024,2,18,Paramount+,Nickelodeon Animation Studio,CGI,7,60
482,Duncanville,36,2020-2022,2020,2022,2,18,Fox,Paper Kite Productions,Traditional,6.3,71
1579,The Tick,36,1994-1996,1994,1996,2,18,Fox Kids,Sunbow Productions,Traditional,7.4,58
79,Arabian Knights,18,1968-1969,1968,1969,1,18,NBC,Hanna-Barbera,Traditional,7.1,89
543,The Flintstone Comedy Show,18,1980-1981,1980,1981,1,18,NBC,Hanna-Barbera,Traditional,6.6,86
557,Frankenstein Jr. and The Impossibles,18,1966-1967,1966,1967,1,18,CBS,Hanna-Barbera,Traditional,6.6,86
688,The Herculoids,18,1967-1968,1967,1968,1,18,CBS,Hanna-Barbera,Traditional,7.4,95
753,The Impossibles,18,1966-1967,1966,1967,1,18,CBS,Hanna-Barbera,Traditional,7.5,93
763,Inside Job,18,2021-2022,2021,2022,1,18,Netflix,Netflix Animation,Traditional,8.2,66
841,Kiya & the Kimoja Heroes,18,2023-2024,2023,2024,1,18,Disney Junior,Hasbro,CGI,6.7,70
898,The Little Clowns of Happytown,18,1987-1988,1987,1988,1,18,ABC,Marvel Productions,Traditional,5.1,58
910,Little Rosey,18,1990-1991,1990,1991,1,18,ABC,Nelvana,Traditional,5.7,76
1005,Moby Dick and Mighty Mightor,18,1967-1968,1967,1968,1,18,CBS,Hanna-Barbera,Traditional,6.4,83
1228,Pupstruction,18,2023-2024,2023,2024,1,18,Disney Junior,"Titmouse, Inc.",CGI,7,65
1362,Shazzan,18,1967-1968,1967,1968,1,18,CBS,Hanna-Barbera,Traditional,6.4,91
1660,Transformers: War for Cybertron Trilogy,18,2020-2021,2020,2021,1,18,Netflix,Rooster Teeth,CGI,7.2,69
1753,Will the Real Jerry Lewis Please Sit Down,18,1974-1975,1974,1975,1,18,ABC,Filmation,Traditional,7.7,84
1034,Muppet Babies (2018),71,2018-2022,2018,2022,4,17.75,Disney Junior,The Muppets Studio,CGI,6.6,78
389,Danny Phantom,53,2004-2007,2004,2007,3,17.66666667,Nickelodeon,Billionfold Inc.Nickelodeon Animation Studio,Traditional,7.2,93
439,DreamWorks Dragons: Rescue Riders,53,2019-2022,2019,2022,3,17.66666667,NetflixPeacock,DreamWorks Animation Television,CGI,6,52
658,Hanazuki: Full of Treasures,35,2017-2019,2017,2019,2,17.5,YouTubeDiscovery Family,"Titmouse, Inc",Flash,8,90
1052,Max Steel (2000),35,2000-2002,2000,2002,2,17.5,Kids' WB,Mattel Television,Traditional,6.1,91
1237,Phantom 2040,35,1994-1996,1994,1996,2,17.5,Syndication,NA,Traditional,7.2,93
1290,Ridley Jones,35,2021-2023,2021,2023,2,17.5,Netflix,Netflix Animation,CGI,2.2,14
10,Aaahh!!! Real Monsters,52,1994-1997,1994,1997,3,17.33333333,Nickelodeon,Klasky CsupoGames Animation,Traditional,7.2,86
150,Ben 10 (2005),52,2005-2008,2005,2008,3,17.33333333,Cartoon Network,Cartoon Network Studios,Traditional,7.5,86
226,Beast Wars: Transformers,52,1996-1999,1996,1999,3,17.33333333,Syndication,Hasbro,CGI,8.1,89
329,Courage the Cowardly Dog,52,1999-2002,1999,2002,3,17.33333333,Cartoon Network,Stretch Films,Traditional,8.3,96
353,Casper's Scare School,52,2009-2012,2009,2012,3,17.33333333,Cartoon Network,The Harvey Entertainment Company,CGI,4.5,87
497,Esme & Roy,52,2018-2021,2018,2021,3,17.33333333,HBO,Sesame Workshop,Traditional,7.6,70
591,Gadget Boy & Heather,52,1995-1998,1995,1998,3,17.33333333,Syndication,DIC Entertainment,Traditional,6.7,67
